ITEM_ID,NAME,LOCATION,PRICE,ITEM_LINK,IMG_LINK
1,IZOD Pink Windbreaker,ThredUp,17.99,https://www.thredup.com/product/women-izod-pink-windbreaker/53709947,https://cf-assets-thredup.thredup.com/assets/148132284/retina.jpg
2,Orange Bucket Hat,Depop,20.00,https://www.depop.com/products/raquelrod22-orange-bucket-hat-details-bucket/,https://d2h1pu99sxkfvn.cloudfront.net/b0/1997170/506187240_ebPIYGmwAp/P8.jpg
3,American Eagle Auburn Top,Mercari,15.00,https://www.mercari.com/us/item/m94210058339/,https://mercari-images.global.ssl.fastly.net/photos/m94210058339_1.jpg?1557763751
4,Picro Anthro Corduroy Pink Green Pants,Mercari,39.00,https://www.mercari.com/us/item/m19931070982/,https://mercari-images.global.ssl.fastly.net/photos/m19931070982_1.jpg?1557601576
5,Urban outfitters crushed velvet dress,Poshmark,30.00,https://poshmark.com/listing/Urban-outfitters-crushed-velvet-dress-5cb7f88bc953d8c9f7ab13ac,https://di2ponv0v5otw.cloudfront.net/posts/2019/04/17/5cb7f88bc953d8c9f7ab13ac/m_5cb7f8a7c953d8f4a4ab144d.jpg
6,Doc Martens Color Maroon,Depop,100.00,https://www.depop.com/products/mills5321-doc-martens-color-maroon-w-7-basically/,https://d2h1pu99sxkfvn.cloudfront.net/b0/8640422/494348351_v0XKiWzdeO/P8.jpg
7,Forever 21 Pink Windbreaker,ThredUp,10.99,https://www.thredup.com/product/women-forever-21-pink-windbreaker/53557811,https://cf-assets-thredup.thredup.com/assets/157179934/retina.jpg
8,Kenneth Cole Tuxedo,Mercari,58.00,https://www.mercari.com/us/item/m80327879633/,https://mercari-images.global.ssl.fastly.net/photos/m80327879633_1.jpg?1556148927
9,Zara Knit Sweater,Mercari,35.00,https://www.mercari.com/us/item/m42500998251/,https://mercari-images.global.ssl.fastly.net/photos/m42500998251_1.jpg?1556365939
10,Royal Black Jeggings Size 12,ThredUp,15.99,https://www.thredup.com/product/women-royalty-for-me-jeggings/52571008,https://cf-assets-thredup.thredup.com/assets/154085162/retina.jpg
11,NWT Adidas Samba Rose Tan Gum Sole Sneakers,Poshmark,95.00,https://poshmark.com/listing/NWT-Adidas-Samba-Rose-Tan-Gum-Sole-Sneakers-5cc8b39514456554eb4c5f7a,https://di2ponv0v5otw.cloudfront.net/posts/2019/04/30/5cc8b39514456554eb4c5f7a/m_5cc8b39b6a7fba3abf4439a8.jpeg
12,American Apparel High Waist Jeans 26 Light Raw Hem,Poshmark,39.00,https://poshmark.com/listing/American-Apparel-High-Waist-Jeans-26-Light-Raw-Hem-5c61ca17b20c9123f97642f0,https://di2ponv0v5otw.cloudfront.net/posts/2019/02/11/5c61ca17b20c9123f97642f0/m_5c61ca1803087ca58c4a55a6.jpeg
13,Vintage Mom Jeans Size 6,Depop,10.00,https://www.depop.com/products/julie819-vintage-mom-jeans-very-comfortable/,https://d2h1pu99sxkfvn.cloudfront.net/b0/11854345/504534000_y2HJcebSt9/P8.jpg
14,Basic Editions Blue Windbreaker,ThredUp,11.99,https://www.thredup.com/product/women-basic-editions-blue-windbreaker/53697970,https://cf-assets-thredup.thredup.com/assets/153341389/retina.jpg
